Carat Weight;Cut;Color;Clarity;Polish;Symmetry;Report;class
"[0.9;1)";Very Good;F;VS2;G;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;VS1;ID;ID;AGSL;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;VG;VG;GIA;"[4000;6000)"
"[0.75;0.9)";Signature-Ideal;F;VVS1;ID;ID;AGSL;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;G;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;EX;G;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;VS2;ID;ID;AGSL;"[4000;6000)"
"[1;1.2)";Very Good;I;VS1;G;G;AGSL;"[4000;6000)"
"[1;1.2)";Good;I;VS1;EX;G;AGSL;"[4000;6000)"
"[1;1.2)";Ideal;I;VS2;ID;ID;AGSL;"[4000;6000)"
"[1;1.2)";Very Good;H;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS2;VG;VG;GIA;"[4000;6000)"
"[0.9;1)";Ideal;H;VS1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;EX;EX;GIA;"[4000;6000)"
"[0.9;1)";Very Good;F;VS1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;I;VS1;G;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;VG;VG;GIA;"[4000;6000)"
"[0.9;1)";Very Good;E;VS2;VG;EX;GIA;"[4000;6000)"
"[1;1.2)";Good;F;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;G;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;F;SI1;VG;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS2;EX;VG;AGSL;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Ideal;F;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;G;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;D;SI1;G;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;SI1;EX;EX;GIA;"[4000;6000)"
"[0.9;1)";Very Good;D;VS1;VG;VG;GIA;"[4000;6000)"
"[0.9;1)";Very Good;D;VS1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;VG;G;GIA;"[4000;6000)"
"[1.2;1.3)";Very Good;I;SI1;G;G;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;VVS2;ID;ID;AGSL;"[4000;6000)"
"[1;1.2)";Very Good;I;VS2;VG;VG;GIA;"[4000;6000)"
"[1.2;1.3)";Very Good;I;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;G;SI1;VG;EX;GIA;"[4000;6000)"
"[0.9;1)";Good;E;VS1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Ideal;F;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;G;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;G;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;VS2;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;G;SI1;G;G;GIA;"[4000;6000)"
"[1;1.2)";Ideal;G;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;F;SI1;EX;EX;AGSL;"[4000;6000)"
"[1;1.2)";Very Good;G;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;G;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;VS2;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;G;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;G;SI1;G;G;GIA;"[4000;6000)"
"[0.9;1)";Ideal;E;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;VS1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;VS1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Good;D;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;SI1;EX;ID;AGSL;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS1;G;G;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;VS2;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;SI1;VG;EX;GIA;"[4000;6000)"
"[1;1.2)";Good;D;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Good;D;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Fair;D;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Fair;E;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Good;E;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;VS1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;EX;VG;AGSL;"[4000;6000)"
"[0.9;1)";Very Good;E;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;ID;ID;AGSL;"[4000;6000)"
"[1;1.2)";Ideal;I;VS2;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;VS2;ID;ID;AGSL;"[4000;6000)"
"[1;1.2)";Very Good;H;VS2;ID;ID;AGSL;"[4000;6000)"
"[1;1.2)";Good;F;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;D;SI1;VG;EX;GIA;"[4000;6000)"
"[1;1.2)";Fair;D;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;F;VS2;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;ID;ID;AGSL;"[4000;6000)"
"[1;1.2)";Good;E;SI1;VG;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;VS2;ID;ID;AGSL;"[4000;6000)"
"[1.2;1.3)";Very Good;I;SI1;G;G;GIA;"[4000;6000)"
"[1.2;1.3)";Good;I;SI1;G;VG;GIA;"[4000;6000)"
"[1.2;1.3)";Very Good;I;SI1;VG;G;GIA;"[4000;6000)"
"[1.2;1.3)";Very Good;I;SI1;VG;VG;GIA;"[4000;6000)"
"[0.9;1)";Ideal;H;VVS2;ID;ID;AGSL;"[4000;6000)"
"[0.9;1)";Ideal;E;VS2;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;E;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;E;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;SI1;ID;ID;AGSL;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;G;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS2;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;VG;VG;GIA;"[4000;6000)"
"[1.2;1.3)";Good;I;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS2;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;G;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;H;SI1;EX;G;AGSL;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;VS2;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS2;VG;VG;GIA;"[4000;6000)"
"[0.75;0.9)";Very Good;D;VVS2;VG;VG;GIA;"[4000;6000)"
"[0.9;1)";Very Good;D;VVS2;EX;VG;GIA;"[4000;6000)"
"[0.9;1)";Very Good;G;VVS2;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;VG;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;G;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;SI1;EX;EX;GIA;"[4000;6000)"
"[0.9;1)";Very Good;H;IF;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;G;SI1;EX;EX;GIA;"[4000;6000)"
"[1.2;1.3)";Ideal;I;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;E;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;F;VS2;G;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;G;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;G;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;F;VS2;G;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS2;G;G;GIA;"[4000;6000)"
"[0.9;1)";Ideal;E;SI1;EX;VG;GIA;"[4000;6000)"
"[1.2;1.3)";Good;I;SI1;G;VG;GIA;"[4000;6000)"
"[1.2;1.3)";Ideal;I;SI1;VG;VG;GIA;"[4000;6000)"
"[1.2;1.3)";Very Good;I;SI1;G;VG;GIA;"[4000;6000)"
"[1.2;1.3)";Ideal;I;SI1;VG;VG;GIA;"[4000;6000)"
"[1.2;1.3)";Very Good;I;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;EX;EX;GIA;"[4000;6000)"
"[0.9;1)";Ideal;E;SI1;EX;EX;GIA;"[4000;6000)"
"[0.9;1)";Good;G;VVS2;EX;G;GIA;"[4000;6000)"
"[1;1.2)";Ideal;E;SI1;VG;EX;GIA;"[4000;6000)"
"[1.2;1.3)";Good;I;SI1;G;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;EX;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;G;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;VS2;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;VG;G;GIA;"[4000;6000)"
"[0.9;1)";Very Good;G;VVS2;EX;VG;GIA;"[4000;6000)"
"[0.9;1)";Very Good;G;VVS2;VG;EX;GIA;"[4000;6000)"
"[1;1.2)";Good;G;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;I;VS2;VG;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;EX;EX;GIA;"[4000;6000)"
"[0.9;1)";Good;D;VVS2;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;E;SI1;VG;EX;GIA;"[4000;6000)"
"[1.2;1.3)";Ideal;I;SI1;EX;VG;GIA;"[4000;6000)"
"[1.2;1.3)";Very Good;I;SI1;G;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;G;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;VVS1;ID;ID;AGSL;"[4000;6000)"
"[1;1.2)";Good;D;SI1;EX;VG;GIA;"[4000;6000)"
"[0.9;1)";Good;F;VVS2;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;G;SI1;ID;ID;AGSL;"[4000;6000)"
"[0.9;1)";Very Good;G;VS2;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Fair;G;VS1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Good;H;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;G;VS2;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;I;VS2;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;D;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;H;VS2;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;VG;G;AGSL;"[4000;6000)"
"[0.9;1)";Ideal;G;VVS2;VG;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;G;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Ideal;F;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Good;G;VS2;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Good;D;SI1;VG;VG;GIA;"[4000;6000)"
"[0.9;1)";Ideal;E;VS2;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;G;VS2;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;ID;ID;AGSL;"[4000;6000)"
"[1;1.2)";Ideal;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;G;SI1;VG;EX;GIA;"[4000;6000)"
"[1.2;1.3)";Ideal;I;VS2;G;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS2;EX;VG;GIA;"[4000;6000)"
"[0.9;1)";Ideal;E;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;VS2;ID;ID;AGSL;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;G;SI1;G;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;EX;EX;GIA;"[4000;6000)"
"[1.2;1.3)";Very Good;I;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;I;VS2;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;D;SI1;G;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS2;VG;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;E;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;VG;VG;GIA;"[4000;6000)"
"[0.9;1)";Very Good;E;VS1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;G;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;E;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;E;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;F;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;VS2;ID;ID;AGSL;"[4000;6000)"
"[0.9;1)";Ideal;D;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;VS2;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;G;SI1;VG;VG;GIA;"[4000;6000)"
"[0.9;1)";Ideal;G;VS1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;D;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;D;SI1;VG;VG;GIA;"[4000;6000)"
"[0.9;1)";Ideal;H;VVS2;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Good;D;SI1;VG;G;GIA;"[4000;6000)"
"[0.9;1)";Fair;E;VVS2;G;G;GIA;"[4000;6000)"
"[1;1.2)";Ideal;G;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS2;G;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;E;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;G;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;I;VS1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;ID;ID;AGSL;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Good;E;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS2;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;VS2;VG;VG;GIA;"[4000;6000)"
"[1.2;1.3)";Good;I;VS1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;F;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Ideal;F;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS2;G;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;G;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;VS2;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;G;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;G;SI1;VG;EX;GIA;"[4000;6000)"
"[0.75;0.9)";Ideal;F;VVS2;EX;EX;GIA;"[4000;6000)"
"[0.75;0.9)";Ideal;E;VS2;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Good;E;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS1;VG;G;GIA;"[4000;6000)"
"[1.2;1.3)";Good;I;VS1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;F;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;EX;EX;AGSL;"[4000;6000)"
"[1;1.2)";Good;G;VS2;EX;G;AGSL;"[4000;6000)"
"[1;1.2)";Good;F;VS2;G;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;VVS2;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;E;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;E;SI1;G;G;AGSL;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;VG;EX;GIA;"[4000;6000)"
"[1;1.2)";Good;H;VS1;EX;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;G;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS1;G;G;GIA;"[4000;6000)"
"[1;1.2)";Fair;D;SI1;VG;G;GIA;"[4000;6000)"
"[1.2;1.3)";Very Good;H;SI1;EX;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS2;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;D;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;G;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS2;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Good;G;VS2;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;D;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;D;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Good;F;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;G;VG;GIA;"[4000;6000)"
"[1;1.2)";Fair;G;VS2;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;VS2;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;G;VS2;EX;EX;GIA;"[4000;6000)"
"[0.9;1)";Ideal;D;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Fair;D;SI1;VG;EX;AGSL;"[4000;6000)"
"[1;1.2)";Very Good;G;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Ideal;F;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;VG;G;GIA;"[4000;6000)"
"[0.9;1)";Very Good;D;SI1;G;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;G;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;SI1;G;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;VS1;VG;EX;GIA;"[4000;6000)"
"[1;1.2)";Fair;E;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Ideal;G;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;G;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;I;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;D;SI1;EX;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;G;VS2;G;VG;GIA;"[4000;6000)"
"[1;1.2)";Signature-Ideal;I;VS2;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Signature-Ideal;I;SI1;ID;ID;AGSL;"[4000;6000)"
"[1.2;1.3)";Very Good;I;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Good;F;VS2;G;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;D;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;F;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;D;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;E;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;G;VS2;G;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;G;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;I;VVS1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;G;VS2;VG;G;GIA;"[4000;6000)"
"[1.3;1.6)";Very Good;H;SI1;VG;VG;GIA;"[4000;6000)"
"[0.9;1)";Very Good;G;IF;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Ideal;E;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;E;SI1;EX;VG;GIA;"[4000;6000)"
"[1.2;1.3)";Very Good;I;VS1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Good;D;SI1;VG;VG;GIA;"[4000;6000)"
"[0.9;1)";Ideal;F;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;VS2;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;E;SI1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Ideal;H;VS2;ID;ID;AGSL;"[4000;6000)"
"[1;1.2)";Ideal;H;VS1;EX;G;GIA;"[4000;6000)"
"[1;1.2)";Good;H;VS1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;VG;G;GIA;"[4000;6000)"
"[1;1.2)";Very Good;G;VS2;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Fair;F;VS2;EX;G;GIA;"[4000;6000)"
"[0.9;1)";Ideal;D;SI1;EX;VG;GIA;"[4000;6000)"
"[0.75;0.9)";Ideal;E;VVS1;EX;EX;GIA;"[4000;6000)"
"[1;1.2)";Very Good;H;SI1;G;G;GIA;"[4000;6000)"
"[0.9;1)";Very Good;G;IF;EX;VG;GIA;"[4000;6000)"
"[1;1.2)";Very Good;D;SI1;VG;VG;GIA;"[4000;6000)"
"[1;1.2)";Ideal;D;SI1;VG;EX;GIA;"[4000;6000)"
"[0.9;1)";Very Good;D;VS1;VG;EX;GIA;"[4000;6000)"
